gid,name,wedge_s0,wedge_s0.5,wedge_s1,wedge_s2,wedge_s5,wedge_s10,wedge_s20,wedge_s30,wedge_s50,price_s50
2401105,"East Prince George's County--Bowie City, Kettering & Largo",-659.046950282929,-655.768110607638,-652.521733495279,-646.124461808529,-627.663762235465,-599.13359163456,-549.205792301052,-506.959192950913,-439.364633770845,12919.3069138066
2401106,"South Prince George's County--Clinton, Fort Washington & Rosaryville",-809.822049626317,-805.793085013203,-801.804010042986,-793.943186090948,-771.259095303925,-736.201864076789,-674.851708446064,-622.940038241804,-539.881366718308,10478.4831896376
2401107,"Southwest Prince George's County--Oxon Hill, Hillcrest Heights & Temple Hills",-413.19636597572,-411.140663773274,-409.105313519922,-405.09447724197,-393.520348951746,-375.633060718499,-344.330305506384,-317.843358563997,-275.464244046884,7163.09783109535
2401501,"Calvert & Southeast St. Mary's Counties--Chesapeake Beach & California",-1149.41341722528,-1143.69494327363,-1138.0330875032,-1126.87589998345,-1094.67944524684,-1044.9212894838,-957.844515076167,-884.164167593815,-766.275612043368,9946.65544678935
2401700,"Charles County--La Plata Town & Waldorf City",-1394.39396383911,-1387.45668064951,-1380.58808338718,-1367.05290640687,-1327.9942513259,-1267.63087703837,-1161.99497013824,-1072.6107417801,-929.595976094455,8778.52427852198
5101301,"Arlington County (North)",1258.86157140309,1252.59857808004,1246.39759503548,1234.17801067299,1198.91578255976,1144.41960972982,1049.05130895608,968.355054830918,839.241047131005,15568.382626303
5101302,"Arlington County (South)",727.229201163755,723.611145210405,720.028911598532,712.969804554807,692.599238926392,661.117455340678,606.024334223686,559.407077906462,484.819467227504,13155.7092635644
5105901,"Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West)",238.429906004054,237.243687547209,236.069213507657,233.754809009963,227.076100842311,216.754459573513,198.691588763839,183.407620068552,158.953270599186,14898.2581349555
5105902,"Fairfax County (Northwest)--Reston (North) & Franklin Farm",895.220972996056,890.767136401988,886.357398465985,877.667620176158,852.591402332564,813.837247393945,746.017477163652,688.631517190515,596.813981611114,16341.4067452156
5105904,"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East)",935.235465570306,930.582552455737,925.975708146827,916.897514543667,890.700443140689,850.214058893824,779.362888134841,719.411896656478,623.490309746607,15636.0680229777
